,name,district,picture,role,spg_address_line1,spg_address_line2,spg_address_line3,spg_phone_number,dst_address_line1,dst_address_line2,dst_address_line3,dst_phne_number,bio,associate_reps
0,Neil Anderson (R),36th,http://www.ilga.gov/images/members/{90CDA259-1DEA-4D18-AE97-30051E03D154}.jpg,Assistant Republican Leader,Senator 36th District,M103D  Capitol Building,"Springfield, IL   62706    ",(217) 782-5957,1523 47th Ave.,Suite 2,"Moline, IL  61265    ",(309) 736-7084,"Years served:  Committee assignments: Committee of the Whole; Commerce and Economic Development; Energy and Public Utilities; Licensed Activities (Minority Spokesperson); Transportation; Veterans Affairs; Subcommittee on Capital (TR); Oversight Medicaid Mang. Care, Spec; Opioid Crisis Abatement Spec. Com..Biography: ","['Tony McCombie', 'Michael Halpin']"
1,Omar Aquino (D),2nd,http://www.ilga.gov/images/members/{79A5CDE2-DD9F-423E-83F0-4643FDB13ABB}.jpg,none,Senator 2nd District,623 Capitol Building,"Springfield, IL   62706    ",(217) 782-5652,2511 W. Division st.,"Chicago, IL  60622    ",(773) 292-0202,(773) 292-1903 FAX,"Years served:  2016- PresentCommittee assignments: Appropriations I (Vice-Chairperson); Appropriations II; Committee of the Whole; Education; Government Accountability/Pensions; Higher Education; Licensed Activities; Subcommittee on Capital (AP); Subcommittee on Charter Schools; Labor (Chairperson); Opioid Crisis Abatement Spec. Com..Biography: Born and raised on the Northwest Side of Chicago; B.A. in Criminal Justice and Sociology, Loyola University Chicago; Bilingual Case Manager at Central West Case Management Unit at the Jane Addams School of Social Work; Legislative Assistant in the Illinois House of Representatives; Outreach Coordinator for Congresswoman Tammy Duckworth; Devoted to improving education, aging services and human services.","['Eva Dina Delgado', 'Delia C. Ramirez']"
2,Jason A. Barickman (R),53rd,http://www.ilga.gov/images/members/{73221756-E2C7-4B72-8907-701CC96B7ED2}.jpg,Assistant Republican Leader,Senator 53rd District,309L Capitol Building,"Springfield, IL   62706    ",(217) 782-6597,3004 G.E. Road,Suite 1B,"Bloomington, IL  61704    ",(309) 661-2788,"Years served:  2011 - 2012 (House); 2013 - Present (Senate)Committee assignments: Committee of the Whole; Criminal Law; Education; Energy and Public Utilities; Executive; Judiciary (Minority Spokesperson); Labor; Subcommittee on Gov. Operations; Sub. on the Const.& Redistricting; Subcommittee on Special Issues (CL); Subcommittee on Special Issues (ED).Biography: Born May 1, 1975 in Streator, Illinois; raised on family farm in Livingston County; Graduated Woodland High School. Veteran of his service in uniform while an infantry soldier in the Illinois Army National Guard.
Graduated from Illinois State University and then the University of Illinois College of Law. Principal with law office of Meyer Capel, P.C. Selected to inaugural class of the 2012 Edgar Fellows Leadership Program. Member of Illinois House from 2011-2013. Resides in Bloomington with wife, Kristin, as well as their two sons and a daughter.","['Dan Brady', 'Thomas M. Bennett']"
3,Christopher Belt (D),57th,http://www.ilga.gov/images/members/{EFE7513C-260C-46DE-BAB3-A12F250B2937}.jpg,none,Senator 57th District,M118 Capitol Building,"Springfield, IL   62706    ",(217) 782-5399,Kenneth Hall Regional office Bldg.#10,Collinsville Ave. Suite 201A,"East St. Louis, IL  62201    ",(618) 875-1212,(618) 274-3010 FAX,"['Jay Hoffman', 'LaToya Greenwood']"
4,Scott M. Bennett (D),52nd,http://www.ilga.gov/images/members/{8F1A0093-CB44-43C1-9D4D-67266A50A8C6}.jpg,none,Senator 52nd District,311C Capitol Building,"Springfield, IL   62706    ",(217) 782-2507,45 E. University Ave.,Suite 206,"Champaign, IL  61820    ",(217) 355-5252,Additional District Addresses,"['Carol Ammons', 'Michael T. Marron']"
5,Jennifer Bertino-Tarrant (D),49th,http://www.ilga.gov/images/members/{01A3B178-08B3-42A9-9022-FEE4C3220565}.jpg,none,Senator 49th District,119B Capitol Building,"Springfield, IL   62706    ",(217) 782-0052,15300 Route 59,Unit 202,"Plainfield, IL  60544    ",(815) 254-4211,(815) 254-4213 FAX,"['Mark Batinick', 'Natalie A. Manley']"
6,William E. Brady (R),44th,http://www.ilga.gov/images/members/{D9BF6EBA-FC02-48DC-8505-B83436A46DD5}.jpg,Republican Leader,Senator 44th District,309G. Capitol Building,"Springfield, IL   62706    ",(217) 782-6216,2203 Eastland Drive,Suite 3,"Bloomington, IL  61704    ",(309) 664-4440,"Years served:  1993 - 2001(House); 2002 - Present (Senate)Committee assignments: Committee of the Whole; Executive.Biography: Born May 15, 1961, in Bloomington; B.S., finance, political science and economics, Illinois Wesleyan University; married (wife, Nancy), has three children.","['Tim Butler', 'Keith P. Sommer']"
7,Melinda Bush (D),31st,http://www.ilga.gov/images/members/{772B9650-EA19-4BC6-9C53-F76EB5DA14B3}.jpg,none,Senator 31st District,121C Capitol Building,"Springfield, IL   62706    ",(217) 782-7353,10 North Lake Street,Suite 112,"Grayslake, IL  60030    ",(847) 548-5631,"Years served:  2013 - PresentCommittee assignments: Appropriations II; Committee of the Whole; Education; Environment and Conservation (Chairperson); Government Accountability/Pensions; Revenue; Transportation; Subcommittee on Capital (AP); Sub. on Tax Exemptions and Credits; Sub. on Interscholastic Athletics; Opioid Crisis Abatement Spec. Com..Biography: Born March 18, 1956; former member of the Lake County Board, Forest Preserve Board and former Grayslake village trustee; married (Andy) with one adult son (Chris).

","['Joyce Mason', 'Sam Yingling']"
8,Cristina Castro (D),22nd,http://www.ilga.gov/images/members/{F09EB558-EB8D-48B1-91F0-EF47A07632F5}.jpg,none,Senator 22nd District,121D Capitol Building,"Springfield, IL   62706    ",(217) 782-7746,164 Division Street,Suite 102,"Elgin, IL  60120    ",(847) 214-8864,(847) 214-8867 FAX,"['Anna Moeller', 'Fred Crespo']"
9,Jacqueline Y. Collins (D),16th,http://www.ilga.gov/images/members/{D2A0AAA1-D1A0-49D3-8A11-78A1A73D73A9}.jpg,Majority Caucus Whip,Senator 16th District,M114 Capitol Building,"Springfield, IL   62706    ",(217) 782-1607,1155 West 79th Street,"Chicago, IL  60620    ",(773) 224-2830,(773) 224-2855 FAX,"Years served:  2003 - PresentCommittee assignments: Committee of the Whole; Financial Institutions (Chairperson); Insurance; Transportation; Subcommittee on Capital (TR).Biography: Born in McComb, Miss.; grew up in the Englewood neighborhood  of Chicago.  Studied journalism at Northwestern University and graduated from Harvard University's John F. Kennedy School of Government and Harvard Divinity Schoool.  Emmy Award-nominated news editor at CBS-TV in Chicago and 2001 Legislative Fellow with U.S. Sen. Hillary Rodham Clinton.  Recipient in 2011 of a Lifetime Achievement Award for Financial Literacy Leadership from the Illinois state treasurer.     





","['Mary E. Flowers', 'André Thapedi']"
